Statistical profiling result from isolate-0x103000000-v8.log, (4126 ticks, 516 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: ~s.source /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream-to-stream/index.js:53:23
      2    0.0%    0.1%  LazyCompile: ~rest /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-handshake/index.js:38:22
      2    0.0%    0.1%  LazyCompile: ~receivedBytes /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/src/decision/ledger.js:25:17
      2    0.0%    0.1%  LazyCompile: ~read /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-defer/source.js:5:23
      2    0.0%    0.1%  LazyCompile: ~next /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/utils.js:91:16
      2    0.0%    0.1%  LazyCompile: ~mac.digest /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/libp2p-secio/src/etm.js:49:24
      2    0.0%    0.1%  LazyCompile: ~join path.js:1205:22
      2    0.0%    0.1%  LazyCompile: ~fs.readFileSync fs.js:464:27
      2    0.0%    0.1%  LazyCompile: ~emit events.js:136:44
      2    0.0%    0.1%  LazyCompile: ~add /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/priority.js:124:42
      2    0.0%    0.1%  LazyCompile: ~_unrefTimer net.js:201:52
      2    0.0%    0.1%  LazyCompile: ~ReadableState /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/readable-stream/lib/_stream_readable.js:77:23
      2    0.0%    0.1%  LazyCompile: ~Module._findPath module.js:148:28
      2    0.0%    0.1%  LazyCompile: ~Buffer.write buffer.js:712:34
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/node_modules/looper/index.js:7:31
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/stream-to-pull-stream/index.js:58:21
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/parser.js:295:52
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/parser.js:192:31
      2    0.0%    0.1%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/async-map.js:23:29
